127.0.0.1 - - [11/May/2020:01:26:41 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [11/May/2020:01:26:49 +0530] "GET /BookStoreWebsite/ HTTP/1.1" 200 152798
0:0:0:0:0:0:0:1 - - [11/May/2020:01:26:49 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:01:26:49 +0530] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [11/May/2020:01:26:56 +0530] "GET /BookStoreWebsite/view_book?id=18 HTTP/1.1" 200 3223
0:0:0:0:0:0:0:1 - - [11/May/2020:01:26:56 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:01:27:00 +0530] "GET /BookStoreWebsite/view_category?id=24 HTTP/1.1" 200 2695
0:0:0:0:0:0:0:1 - - [11/May/2020:01:27:00 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:01:27:02 +0530] "GET /BookStoreWebsite/view_category?id=2 HTTP/1.1" 200 3599
0:0:0:0:0:0:0:1 - - [11/May/2020:01:27:02 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:01:27:04 +0530] "GET /BookStoreWebsite/view_category?id=24 HTTP/1.1" 200 2695
0:0:0:0:0:0:0:1 - - [11/May/2020:01:27:04 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:01:28:29 +0530] "GET /BookStoreWebsite/ HTTP/1.1" 200 152414
0:0:0:0:0:0:0:1 - - [11/May/2020:01:28:29 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:01:28:35 +0530] "GET /BookStoreWebsite/ HTTP/1.1" 200 152414
0:0:0:0:0:0:0:1 - - [11/May/2020:01:28:35 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:01:28:36 +0530] "GET /BookStoreWebsite/ HTTP/1.1" 200 152414
0:0:0:0:0:0:0:1 - - [11/May/2020:01:28:36 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:01:30:18 +0530] "GET /BookStoreWebsite/ HTTP/1.1" 200 152798
0:0:0:0:0:0:0:1 - - [11/May/2020:01:30:18 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:01:30:28 +0530] "GET /BookStoreWebsite/view_book?id=12 HTTP/1.1" 200 3944
0:0:0:0:0:0:0:1 - - [11/May/2020:01:30:28 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:01:30:34 +0530] "GET /BookStoreWebsite/view_book?id=15 HTTP/1.1" 200 3881
0:0:0:0:0:0:0:1 - - [11/May/2020:01:30:34 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:01:30:39 +0530] "GET /BookStoreWebsite/view_book?id=17 HTTP/1.1" 200 4658
0:0:0:0:0:0:0:1 - - [11/May/2020:01:30:39 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:01:40:07 +0530] "GET /BookStoreWebsite/ HTTP/1.1" 500 499
0:0:0:0:0:0:0:1 - - [11/May/2020:01:42:34 +0530] "GET /BookStoreWebsite/ HTTP/1.1" 200 152882
0:0:0:0:0:0:0:1 - - [11/May/2020:01:42:34 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:01:52:00 +0530] "GET /BookStoreWebsite/admin/ HTTP/1.1" 200 1286
0:0:0:0:0:0:0:1 - - [11/May/2020:01:52:00 +0530] "GET /BookStoreWebsite/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2020:01:52:02 +0530] "POST /BookStoreWebsite/admin/login HTTP/1.1" 200 2215
0:0:0:0:0:0:0:1 - - [11/May/2020:01:52:04 +0530] "GET /BookStoreWebsite/admin/list_books HTTP/1.1" 200 370641
0:0:0:0:0:0:0:1 - - [11/May/2020:01:52:08 +0530] "GET /BookStoreWebsite/admin/edit_book?id=9 HTTP/1.1" 200 45399
0:0:0:0:0:0:0:1 - - [11/May/2020:01:52:23 +0530] "GET /BookStoreWebsite/admin/new_book HTTP/1.1" 200 5670
0:0:0:0:0:0:0:1 - - [11/May/2020:01:52:27 +0530] "GET /BookStoreWebsite/admin/list_books HTTP/1.1" 200 370641
0:0:0:0:0:0:0:1 - - [11/May/2020:01:52:30 +0530] "GET /BookStoreWebsite/admin/edit_book?id=10 HTTP/1.1" 200 63117
0:0:0:0:0:0:0:1 - - [11/May/2020:01:52:42 +0530] "GET /BookStoreWebsite/admin/edit_book?id=11 HTTP/1.1" 200 55362
0:0:0:0:0:0:0:1 - - [11/May/2020:01:53:09 +0530] "GET /BookStoreWebsite/admin/book_form.jsp HTTP/1.1" 200 5129
0:0:0:0:0:0:0:1 - - [11/May/2020:01:53:20 +0530] "GET /BookStoreWebsite/admin/new_book HTTP/1.1" 200 5670
0:0:0:0:0:0:0:1 - - [11/May/2020:01:53:26 +0530] "GET /BookStoreWebsite/admin/list_books HTTP/1.1" 200 370641
0:0:0:0:0:0:0:1 - - [11/May/2020:01:53:33 +0530] "GET /BookStoreWebsite/admin/edit_book?id=18 HTTP/1.1" 200 17448
0:0:0:0:0:0:0:1 - - [11/May/2020:01:53:37 +0530] "GET /BookStoreWebsite/admin/list_books HTTP/1.1" 200 370641
0:0:0:0:0:0:0:1 - - [11/May/2020:01:53:41 +0530] "GET /BookStoreWebsite/admin/edit_book?id=18 HTTP/1.1" 200 17448
0:0:0:0:0:0:0:1 - - [11/May/2020:01:54:45 +0530] "POST /BookStoreWebsite/admin/update_book HTTP/1.1" 500 499
0:0:0:0:0:0:0:1 - - [11/May/2020:01:54:59 +0530] "POST /BookStoreWebsite/admin/update_book HTTP/1.1" 500 499
0:0:0:0:0:0:0:1 - - [11/May/2020:01:55:07 +0530] "GET /BookStoreWebsite/admin/list_books HTTP/1.1" 200 370641
0:0:0:0:0:0:0:1 - - [11/May/2020:02:01:11 +0530] "GET /BookStoreWebsite/ HTTP/1.1" 200 153346
0:0:0:0:0:0:0:1 - - [11/May/2020:02:01:11 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:02:01:11 +0530] "GET /BookStoreWebsite/images/rating_on.png HTTP/1.1" 200 3062
0:0:0:0:0:0:0:1 - - [11/May/2020:02:04:10 +0530] "GET /BookStoreWebsite/ HTTP/1.1" 200 154842
0:0:0:0:0:0:0:1 - - [11/May/2020:02:04:10 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:02:04:10 +0530] "GET /BookStoreWebsite/images/rating_off.png HTTP/1.1" 200 341
0:0:0:0:0:0:0:1 - - [11/May/2020:02:04:10 +0530] "GET /BookStoreWebsite/images/rating_on.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2020:02:04:38 +0530] "GET /BookStoreWebsite/admin/delete_book?id=18 HTTP/1.1" 200 358643
0:0:0:0:0:0:0:1 - - [11/May/2020:02:04:46 +0530] "GET /BookStoreWebsite/ HTTP/1.1" 200 199953
0:0:0:0:0:0:0:1 - - [11/May/2020:02:04:46 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:02:11:49 +0530] "GET /BookStoreWebsite/ HTTP/1.1" 200 199949
0:0:0:0:0:0:0:1 - - [11/May/2020:02:11:50 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:02:11:50 +0530] "GET /BookStoreWebsite/images/rating_on.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2020:02:11:50 +0530] "GET /BookStoreWebsite/images/rating_off.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/May/2020:02:13:25 +0530] "GET /BookStoreWebsite/ HTTP/1.1" 200 199944
0:0:0:0:0:0:0:1 - - [11/May/2020:02:13:25 +0530] "GET /css/style.css HTTP/1.1" 404 726
0:0:0:0:0:0:0:1 - - [11/May/2020:02:13:51 +0530] "GET /BookStoreWebsite/ HTTP/1.1" 200 199944
0:0:0:0:0:0:0:1 - - [11/May/2020:02:13:51 +0530] "GET /css/style.css HTTP/1.1" 404 726
